label,elapsed_s,rps,p50_ms,p95_ms,p99_ms,max_ms,n
empty-db,0,3.0,24.9,32.3,36.1,36.1,45
empty-db,15,5.1,14.3,23.8,56.3,56.3,76
empty-db,30,11.8,14.2,19.1,24.6,26.9,177
empty-db,45,45.5,13.2,19.0,28.7,65.3,682
empty-db,60,81.7,9.7,16.8,38.1,106.4,1225
empty-db,75,117.9,11.0,27.6,42.1,87.2,1769
empty-db,90,157.9,11.9,23.3,35.0,65.1,2368
empty-db,105,212.7,14.3,24.1,38.4,76.9,3190
empty-db,120,269.0,14.7,23.9,54.1,166.4,4035
empty-db,135,325.2,13.9,21.9,35.8,92.1,4878
empty-db,150,388.7,13.4,21.4,30.6,46.3,5830
empty-db,165,479.1,13.4,23.3,37.9,113.6,7186
empty-db,180,571.5,13.5,31.9,82.9,224.5,8572
empty-db,195,664.2,14.2,31.6,61.7,144.5,9963
empty-db,210,761.0,15.0,44.0,92.8,180.4,11415
empty-db,225,853.5,15.3,53.8,94.9,231.2,12802
empty-db,240,940.5,26.5,137.6,231.8,435.4,14107
empty-db,255,950.8,143.8,686.4,978.4,1556.7,14262
empty-db,270,969.7,317.8,875.9,1142.1,1980.7,14545
empty-db,285,993.7,358.1,960.3,1237.7,1773.2,14906
empty-db,300,986.9,350.2,926.2,1163.7,1888.1,14803
empty-db,315,1026.5,362.5,968.2,1212.5,1869.5,15398
empty-db,330,993.6,368.3,922.8,1152.4,1719.2,14904
empty-db,345,675.5,22.2,451.4,808.8,1482.4,10133
empty-db,360,56.0,15.7,36.9,73.7,127.1,840
