label,elapsed_s,rps,p50_ms,p95_ms,p99_ms,max_ms,n
after-warm,0,2.0,18.4,354.0,372.1,372.1,30
after-warm,15,4.9,18.2,360.4,384.5,384.5,74
after-warm,30,5.3,38.0,392.2,434.3,434.3,80
after-warm,45,8.4,11.7,369.9,422.3,425.3,126
after-warm,60,12.1,17.4,458.1,1501.1,1621.8,182
after-warm,75,15.5,21.2,451.1,613.4,725.1,233
after-warm,90,19.7,38.0,1742.9,1947.7,2017.0,295
after-warm,105,24.2,111.0,2104.5,3080.6,3239.1,363
after-warm,120,27.5,2279.0,4383.2,4981.5,5555.9,412
after-warm,135,2.9,3548.1,5138.2,5232.3,5232.3,44
