ts,mem_avail_mb,load1,hikari_active,heap_used_mb
12:54:45,1466,3.85,0,173
12:54:47,1460,3.54,0,174
12:54:49,1459,3.54,0,176
12:54:51,1459,3.25,0,177
12:54:53,1459,3.25,0,178
12:54:55,1459,3.25,0,180
12:54:57,1458,2.99,0,181
12:55:00,1470,2.99,0,182
12:55:02,1468,2.83,1,226
12:55:04,1460,2.83,1,234
12:55:06,1465,2.69,1,243
12:55:08,1463,2.69,0,249
12:55:10,1451,2.69,0,256
12:55:12,1451,2.47,0,260
12:55:14,1451,2.47,2,265
12:55:16,1447,2.27,1,275
12:55:18,1447,2.27,0,284
12:55:20,1446,2.27,0,288
12:55:22,1446,2.09,0,293
12:55:24,1445,2.09,0,298
12:55:26,1443,1.92,0,305
12:55:28,1438,1.92,0,123
12:55:30,1432,1.92,1,129
12:55:32,1431,1.77,0,135
12:55:34,1441,1.77,1,141
12:55:36,1439,1.63,0,148
12:55:38,1437,1.63,0,158
12:55:41,1435,1.63,1,165
12:55:43,1435,1.74,1,175
12:55:45,1431,1.74,1,185
12:55:47,1431,1.68,1,195
12:55:49,1431,1.68,2,205
12:55:51,1431,1.70,0,220
12:55:53,1434,1.70,0,232
12:55:55,1434,1.70,1,242
12:55:57,1428,1.57,0,254
12:55:59,1427,1.57,2,266
12:56:01,1436,1.60,0,281
12:56:03,1428,1.60,3,130
12:56:05,1432,1.60,1,145
12:56:07,1431,1.47,0,160
12:56:09,1426,1.47,2,178
12:56:11,1412,1.36,1,194
12:56:13,1412,1.36,4,209
12:56:16,1412,1.36,1,230
12:56:18,1410,1.33,1,243
12:56:20,1410,1.33,5,260
12:56:22,1424,1.46,7,279
12:56:24,1418,1.46,10,297
12:56:26,1413,2.23,10,116
12:56:28,1397,2.23,10,139
12:56:30,1397,2.23,10,163
12:56:32,1396,2.93,10,183
12:56:34,1395,2.93,10,208
12:56:36,1395,3.50,10,230
12:56:38,1392,3.50,10,253
12:56:40,1389,3.50,10,274
12:56:43,1389,4.02,10,296
12:56:45,1387,4.02,10,101
12:56:47,1386,4.50,10,126
12:56:49,1392,4.50,2,148
12:56:51,1389,4.50,0,151
12:56:53,1389,4.14,0,153
12:56:55,1391,4.14,0,154
12:56:57,1390,3.80,0,155
12:56:59,1390,3.80,0,156
12:57:01,1390,3.50,0,157
12:57:03,1390,3.50,0,157
12:57:05,1390,3.50,0,158
12:57:07,1390,3.22,0,159
12:57:09,1390,3.22,0,161
12:57:11,1389,2.96,0,162
12:57:13,1389,2.96,0,163
12:57:15,1389,2.96,0,164
12:57:17,1389,2.72,0,165
12:57:19,1389,2.72,0,166
12:57:21,1389,2.51,0,167
12:57:23,1389,2.51,0,169
12:57:25,1389,2.51,0,170
12:57:27,1389,2.30,0,171
12:57:29,1389,2.30,0,172
12:57:31,1393,2.20,1,179
12:57:33,1391,2.20,1,188
12:57:35,1391,2.20,1,197
12:57:38,1390,2.10,1,206
12:57:40,1386,2.10,1,216
12:57:42,1386,2.02,1,225
12:57:44,1386,2.02,1,234
12:57:46,1386,2.02,1,243
12:57:48,1386,1.93,1,253
12:57:50,1385,1.93,1,262
12:57:52,1383,1.86,1,272
12:57:54,1382,1.86,1,281
12:57:56,1382,1.86,1,290
12:57:58,1424,2.11,1,103
12:58:00,1423,2.11,1,111
12:58:02,1414,2.10,1,122
12:58:04,1417,2.10,1,132
12:58:06,1415,2.01,0,141
12:58:08,1415,2.01,1,150
12:58:10,1412,2.01,1,160
12:58:12,1413,1.85,1,168
12:58:14,1415,1.85,1,177
12:58:16,1416,1.78,1,187
12:58:18,1418,1.78,1,196
12:58:20,1414,1.78,1,205
12:58:22,1415,1.64,1,214
12:58:25,1417,1.64,1,223
12:58:27,1411,1.59,1,232
12:58:29,1413,1.59,1,242
12:58:31,1418,1.59,1,251
12:58:33,1416,1.54,1,260
12:58:35,1415,1.54,1,270
12:58:37,1415,1.50,1,101
12:58:39,1415,1.50,1,111
12:58:41,1415,1.50,0,119
12:58:43,1416,2.02,0,129
12:58:45,1410,2.02,1,139
12:58:47,1410,1.94,1,148
12:58:49,1416,1.94,1,157
12:58:51,1414,1.78,1,166
12:58:53,1414,1.78,0,174
12:58:55,1416,1.78,1,184
12:58:57,1413,1.72,1,193
12:58:59,1413,1.72,1,202
12:59:01,1414,1.66,1,210
12:59:03,1413,1.66,1,219
12:59:05,1413,1.66,1,228
12:59:08,1416,1.85,1,237
12:59:10,1415,1.85,0,244
12:59:12,1415,1.70,0,250
12:59:14,1413,1.70,0,257
12:59:16,1412,1.70,0,262
12:59:18,1412,1.72,0,269
12:59:20,1415,1.72,0,90
12:59:22,1410,1.59,0,95
12:59:24,1410,1.59,0,100
12:59:26,1411,1.59,0,105
12:59:28,1414,1.46,1,110
12:59:30,1414,1.46,0,118
12:59:32,1408,1.42,1,124
12:59:34,1410,1.42,1,130
12:59:36,1410,1.42,2,137
12:59:38,1409,1.39,0,143
12:59:40,1409,1.39,0,146
12:59:42,1409,1.36,0,151
12:59:44,1404,1.36,0,160
12:59:46,1413,1.49,1,168
12:59:48,1410,1.49,1,175
12:59:50,1410,1.49,1,181
12:59:52,1407,1.37,1,188
12:59:54,1409,1.37,0,195
12:59:56,1411,1.50,0,206
12:59:58,1411,1.50,0,217
13:00:01,1408,1.50,1,223
13:00:03,1408,1.70,0,234
13:00:05,1409,1.70,0,242
13:00:07,1408,1.64,0,254
13:00:09,1408,1.64,1,265
13:00:11,1424,1.64,2,101
13:00:13,1417,1.67,1,114
13:00:15,1415,1.67,1,124
13:00:17,1415,1.62,1,140
13:00:19,1419,1.62,3,150
13:00:21,1413,1.62,2,167
13:00:23,1414,1.81,3,186
13:00:25,1418,1.81,0,202
13:00:27,1418,1.74,0,219
13:00:30,1416,1.74,4,232
13:00:32,1415,1.68,1,250
13:00:34,1419,1.68,3,96
13:00:36,1419,1.68,2,119
13:00:38,1417,1.95,2,140
13:00:40,1411,1.95,8,157
13:00:42,1411,2.43,10,183
13:00:44,1417,2.43,9,205
13:00:46,1419,2.43,7,230
13:00:48,1415,2.96,7,252
13:00:50,1414,2.96,10,101
13:00:52,1415,3.28,9,126
13:00:54,1418,3.28,10,151
13:00:56,1412,3.28,10,174
13:00:58,1414,4.14,10,198
13:01:00,1417,4.14,10,222
13:01:02,1416,4.77,10,247
13:01:04,1425,4.77,10,102
13:01:07,1418,5.19,10,126
13:01:09,1418,5.19,10,153
13:01:11,1415,5.19,10,185
13:01:13,1414,5.58,10,212
13:01:15,1412,5.58,10,240
13:01:17,1406,5.93,10,104
13:01:19,1406,5.93,10,125
13:01:21,1410,5.93,0,155
13:01:23,1409,5.46,0,156
13:01:25,1409,5.46,0,157
13:01:28,2024,5.18,,0
13:01:30,1955,5.18,,0
13:01:32,1927,5.08,,0
13:01:34,1903,5.08,,0
13:01:36,1879,5.08,,0
13:01:38,1789,5.00,,0
13:01:40,1757,5.00,,0
13:01:42,1718,4.84,,0
13:01:44,1704,4.84,,0
13:01:46,1688,4.53,,0
13:01:49,1587,4.53,,0
13:01:51,1487,4.53,,0
13:01:53,1366,4.41,0,243
13:01:55,1360,4.41,1,359
13:01:57,1352,4.21,1,368
13:01:59,1348,4.21,1,149
13:02:02,1327,4.04,1,158
13:02:04,1323,4.04,1,168
13:02:06,1323,4.04,1,179
13:02:08,1322,3.79,1,188
13:02:10,1315,3.79,1,199
13:02:12,1315,3.57,1,208
13:02:14,1315,3.57,0,218
13:02:16,1315,3.57,1,228
13:02:18,1315,3.52,1,237
13:02:20,1315,3.52,1,246
13:02:22,1315,3.32,1,256
13:02:24,1315,3.32,1,266
13:02:26,1314,3.32,1,276
13:02:28,1315,3.29,1,286
13:02:30,1315,3.29,1,295
13:02:32,1312,3.03,0,305
13:02:34,1318,3.03,1,315
13:02:36,1318,3.03,1,326
13:02:39,1318,3.27,0,336
13:02:41,1310,3.27,1,346
13:02:43,1309,3.09,0,355
13:02:45,1307,3.09,1,365
13:02:47,1316,2.92,1,376
13:02:49,1314,2.92,1,385
13:02:51,1396,2.92,0,121
13:02:53,1396,2.77,0,130
13:02:55,1396,2.77,1,140
13:02:57,1396,2.62,1,149
13:02:59,1396,2.62,1,159
13:03:01,1396,2.62,1,168
13:03:03,1396,2.57,1,178
