ts,mem_avail_mb,load1,hikari_active,heap_used_mb
13:07:29,1569,2.22,0,225
13:07:31,1534,2.22,1,140
13:07:33,1512,2.13,1,161
13:07:36,1505,2.13,1,172
13:07:38,1503,1.96,1,182
13:07:40,1503,1.96,1,191
13:07:42,1500,1.96,1,201
13:07:44,1501,1.80,1,210
13:07:46,1489,1.80,1,220
13:07:48,1490,1.74,1,229
13:07:50,1499,1.74,1,238
13:07:52,1500,1.74,1,247
13:07:54,1502,1.84,0,257
13:07:56,1504,1.84,1,267
13:07:58,1504,1.77,1,143
13:08:00,1498,1.77,1,151
13:08:02,1497,1.71,1,160
13:08:04,1498,1.71,1,169
13:08:06,1499,1.71,1,178
13:08:08,1493,1.65,1,187
13:08:10,1497,1.65,0,198
13:08:13,1495,1.60,1,207
13:08:15,1493,1.60,1,216
13:08:17,1492,1.60,1,225
13:08:19,1491,1.55,1,234
13:08:21,1492,1.55,1,243
13:08:23,1491,1.51,1,254
13:08:25,1493,1.51,0,263
13:08:27,1490,1.51,0,272
13:08:29,1491,1.55,1,140
13:08:31,1490,1.55,1,124
13:08:33,1486,1.50,1,133
13:08:35,1488,1.50,1,143
13:08:37,1489,1.50,1,152
13:08:39,1490,1.94,1,160
13:08:41,1490,1.94,1,171
13:08:43,1488,1.87,1,181
13:08:45,1489,1.87,1,189
13:08:47,1489,1.72,1,198
13:08:49,1488,1.72,1,207
13:08:51,1480,1.72,1,215
13:08:53,1480,1.90,1,224
13:08:56,1482,1.90,1,234
13:08:58,1479,1.75,1,243
13:09:00,1484,1.75,0,253
13:09:02,1480,1.75,0,116
13:09:04,1485,1.77,1,126
13:09:06,1486,1.77,1,135
13:09:08,1487,1.87,1,144
13:09:10,1485,1.87,0,152
13:09:12,1486,1.87,0,171
13:09:14,1480,1.72,0,176
13:09:16,1474,1.72,0,182
13:09:18,1473,1.66,0,188
13:09:20,1473,1.66,0,192
13:09:22,1474,1.66,0,196
13:09:24,1474,1.77,1,204
13:09:26,1471,1.77,0,210
13:09:28,1472,1.70,0,216
13:09:30,1473,1.70,1,223
13:09:32,1465,1.70,0,230
13:09:34,1467,1.65,1,235
13:09:36,1464,1.65,1,242
13:09:38,1468,1.52,0,247
13:09:41,1469,1.52,0,252
13:09:43,1468,1.39,0,258
13:09:45,1464,1.39,0,265
13:09:47,1466,1.39,1,275
13:09:49,1467,1.44,0,284
13:09:51,1470,1.44,0,93
13:09:53,1471,1.49,0,104
13:09:55,1468,1.49,1,107
13:09:57,1468,1.49,2,117
13:09:59,1468,1.37,0,129
13:10:01,1466,1.37,0,141
13:10:03,1464,1.34,0,151
13:10:05,1466,1.34,1,165
13:10:07,1465,1.34,1,177
13:10:09,1468,1.31,0,192
13:10:11,1467,1.31,1,203
13:10:13,1461,1.29,3,217
13:10:15,1464,1.29,0,233
13:10:17,1464,1.29,4,244
13:10:19,1464,1.42,0,87
13:10:21,1464,1.42,0,102
13:10:23,1464,1.71,0,119
13:10:25,1459,1.71,3,133
13:10:27,1459,1.71,3,152
13:10:30,1460,1.97,1,168
13:10:32,1465,1.97,5,186
13:10:34,1462,1.98,2,206
13:10:36,1462,1.98,0,221
13:10:38,1464,1.82,0,237
13:10:40,1461,1.82,0,259
13:10:42,1476,1.82,8,103
13:10:44,1476,2.55,4,123
13:10:46,1470,2.55,7,145
13:10:48,1469,2.59,3,170
13:10:50,1468,2.59,6,190
13:10:52,1469,2.59,10,211
13:10:54,1468,3.26,10,233
13:10:56,1463,3.26,10,107
13:10:58,1464,3.80,10,129
13:11:00,1463,3.80,10,155
13:11:03,1460,3.80,10,181
13:11:05,1463,4.46,10,200
13:11:07,1457,4.46,10,228
13:11:09,1456,4.90,10,102
13:11:11,1457,4.90,10,129
13:11:13,1450,5.31,10,153
13:11:15,1449,5.31,10,172
13:11:17,1446,5.31,10,188
13:11:19,1446,5.69,6,212
13:11:21,1447,5.69,0,219
13:11:23,1451,5.23,0,220
13:11:25,1450,5.23,0,222
