ts,mem_avail_mb,load1,hikari_active,heap_used_mb,app_rss_mb,es_rss_mb
07:50:40,1564,1.93,0,99,708,973
07:50:42,1566,1.93,0,100,708,973
07:50:44,1566,1.93,0,102,708,973
07:50:46,1566,1.77,0,104,708,973
07:50:48,1566,1.77,0,106,708,973
07:50:50,1566,1.63,0,107,708,973
07:50:52,1566,1.63,0,108,708,973
07:50:54,1560,1.63,0,109,708,973
07:50:56,1560,1.50,0,110,708,973
07:50:58,1560,1.50,0,111,708,973
07:51:00,1560,1.38,0,112,708,973
07:51:03,1559,1.38,0,113,708,973
07:51:05,1568,1.38,0,114,708,973
07:51:07,1566,1.51,0,115,709,973
07:51:09,1566,1.51,0,116,709,973
07:51:11,1565,1.39,0,117,709,973
07:51:13,1565,1.39,0,118,709,973
07:51:15,1565,1.28,0,119,709,973
07:51:17,1563,1.28,0,120,709,973
07:51:19,1563,1.28,0,121,709,973
07:51:21,1563,1.18,0,122,709,973
07:51:23,1561,1.18,0,124,709,973
07:51:25,1559,1.08,0,125,709,973
07:51:27,1556,1.08,0,126,709,973
07:51:29,1556,1.08,0,127,709,973
07:51:31,1559,0.99,0,128,709,973
07:51:33,1556,0.99,0,129,709,973
07:51:35,1558,0.91,0,130,709,973
07:51:37,1571,0.91,0,131,709,973
07:51:40,1570,0.91,0,132,709,973
07:51:42,1566,0.84,0,134,709,973
07:51:44,1564,0.84,0,135,709,973
07:51:46,1564,0.85,0,136,709,973
07:51:48,1563,0.85,0,142,710,973
07:51:50,1558,0.87,0,146,711,973
07:51:52,1558,0.87,0,153,711,973
07:51:54,1569,0.87,1,159,712,973
07:51:56,1562,0.80,0,163,713,973
07:51:58,1559,0.80,0,169,713,974
07:52:00,1559,0.97,0,177,714,974
07:52:02,1558,0.97,0,184,715,974
07:52:04,1557,0.97,0,191,716,974
07:52:06,1557,0.89,0,198,716,974
07:52:08,1552,0.89,0,205,716,974
07:52:10,1549,0.82,0,210,717,975
07:52:12,1548,0.82,0,216,717,975
07:52:15,1548,0.82,0,222,718,975
07:52:17,1555,0.76,0,229,718,975
07:52:19,1554,0.76,0,239,719,975
07:52:21,1550,0.70,1,247,719,975
07:52:23,1549,0.70,0,258,720,975
07:52:25,1547,0.70,0,277,721,975
07:52:27,1572,0.64,0,110,679,977
07:52:29,1567,0.64,0,137,679,977
07:52:31,1566,0.67,0,161,679,977
07:52:33,1566,0.67,1,179,680,978
07:52:35,1572,0.62,0,211,680,978
07:52:37,1572,0.62,0,245,680,978
07:52:39,1572,0.62,0,113,681,979
07:52:41,1572,1.05,0,155,681,979
07:52:44,1570,1.05,10,185,683,979
07:52:46,1562,0.96,3,90,683,979
07:52:48,1565,0.96,1,141,683,980
07:52:50,1564,1.05,2,191,684,980
07:52:52,1558,1.05,1,247,685,980
07:52:55,1560,1.05,10,135,679,981
07:52:57,1561,1.92,2,207,679,981
07:52:59,1556,1.92,10,114,679,983
07:53:01,1558,2.65,2,186,679,983
07:53:04,1558,2.65,3,84,679,983
07:53:06,1557,2.92,1,160,679,984
07:53:08,1558,2.92,4,227,679,984
07:53:10,1567,2.92,9,133,669,984
07:53:12,1564,3.81,10,214,669,984
07:53:14,1563,3.81,10,153,670,984
07:53:16,1563,4.62,2,227,670,984
07:53:19,1561,4.62,10,154,672,985
07:53:21,1554,5.29,10,242,673,985
07:53:23,1552,5.29,9,169,676,985
07:53:25,1548,5.29,10,105,677,985
07:53:27,1545,5.91,10,193,681,985
07:53:29,1557,5.91,10,133,684,986
07:53:31,1542,6.48,10,218,689,986
07:53:33,1544,6.48,10,158,690,986
07:53:36,1534,6.76,10,249,690,986
07:53:38,1530,6.76,10,204,690,986
07:53:40,1536,7.02,10,155,690,986
07:53:42,1529,7.02,0,226,690,986
07:53:45,1526,7.02,0,228,690,986
07:53:47,1539,6.46,0,229,690,986
07:53:49,1528,6.46,0,231,690,986
07:53:51,1527,5.94,0,232,690,986
07:53:53,1525,5.94,0,233,690,986
07:53:55,1523,5.94,0,235,690,986
07:53:57,1523,5.47,0,236,690,986
07:53:59,1523,5.47,0,238,690,986
07:54:01,1522,5.11,0,239,690,986
07:54:03,1522,5.11,0,241,690,986
07:54:05,1522,5.11,0,242,690,986
07:54:07,1522,4.70,0,243,690,986
07:54:09,1522,4.70,0,245,690,986
