ts,mem_avail_mb,load1,hikari_active,heap_used_mb,app_rss_mb
06:39:58,2503,0.58,0,175,581
06:40:00,2502,0.58,0,176,581
06:40:02,2502,0.58,0,178,581
06:40:04,2502,0.54,0,179,581
06:40:06,2502,0.54,0,180,581
06:40:08,2502,0.49,0,182,581
06:40:10,2502,0.49,0,185,581
06:40:12,2502,0.49,0,187,581
06:40:14,2502,0.45,0,190,581
06:40:16,2502,0.45,1,68,581
06:40:18,2502,0.42,0,70,581
06:40:20,2502,0.42,0,72,581
06:40:22,2502,0.42,0,74,581
06:40:24,2502,0.46,0,76,581
06:40:26,2502,0.46,0,78,581
06:40:28,2502,0.43,0,80,581
06:40:31,2503,0.43,0,82,581
06:40:33,2503,0.43,0,85,581
06:40:35,2503,0.39,0,87,581
06:40:37,2503,0.39,0,89,581
06:40:39,2503,0.36,0,93,581
06:40:41,2503,0.36,0,98,581
06:40:43,2503,0.36,0,104,581
06:40:45,2503,0.41,0,110,581
06:40:47,2501,0.41,0,118,581
06:40:49,2501,0.38,0,127,581
06:40:51,2501,0.38,0,137,581
06:40:53,2502,0.43,0,148,581
06:40:55,2500,0.43,0,160,581
06:40:57,2500,0.43,0,172,581
06:40:59,2500,0.39,0,186,581
06:41:01,2500,0.39,0,77,581
06:41:03,2500,0.36,0,92,581
06:41:05,2500,0.36,0,108,581
06:41:07,2502,0.36,1,126,581
06:41:09,2502,0.33,0,145,581
06:41:11,2506,0.33,0,166,581
06:41:13,2506,0.31,1,186,581
06:41:15,2506,0.31,0,84,581
06:41:17,2506,0.31,0,106,581
06:41:19,2506,0.28,0,131,581
06:41:21,2506,0.28,0,156,581
06:41:23,2502,0.26,0,183,581
06:41:26,2502,0.26,0,86,581
06:41:28,2502,0.26,0,115,581
06:41:30,2502,0.32,0,144,581
06:41:32,2502,0.32,0,176,581
06:41:34,2502,0.29,0,84,581
06:41:36,2502,0.29,0,116,581
06:41:38,2502,0.29,0,150,581
06:41:40,2502,0.27,0,188,581
06:41:42,2502,0.27,0,102,581
06:41:44,2502,0.41,0,142,581
06:41:46,2502,0.41,0,182,581
06:41:48,2502,0.41,0,100,581
06:41:50,2508,0.45,1,146,581
06:41:52,2508,0.45,0,191,581
06:41:54,2505,0.42,1,115,581
06:41:56,2505,0.42,0,165,581
06:41:58,2505,0.38,0,90,581
06:42:00,2505,0.38,0,142,581
06:42:02,2508,0.38,0,76,582
06:42:04,2506,0.35,1,133,582
06:42:06,2506,0.35,0,191,582
06:42:08,2506,0.33,0,126,582
06:42:10,2506,0.33,0,187,582
06:42:13,2506,0.33,0,126,582
06:42:15,2502,0.30,0,190,582
06:42:17,2502,0.30,1,133,582
06:42:19,2502,0.27,1,77,582
06:42:21,2502,0.27,0,146,582
06:42:23,2501,0.27,1,92,582
06:42:25,2501,0.25,0,164,582
06:42:27,2501,0.25,0,116,582
06:42:29,2501,0.23,1,70,582
